,Symbol,GeneID,Alias,Description,mutADAR WT mock 1,mutADAR WT mock 2,mutADAR WT mock 3,mutADAR ZBP1ko mock 1,mutADAR ZBP1ko mock 2,mutADAR ZBP1ko mock 3,baseMean,log2FoldChange,pvalue,padj
C1QA,C1QA,12259,AI255395|C1q,complement component 1_ q subcomponent_ alpha polypeptide,2.722296643,1.674748452,3.877776523,4.25091486,4.371776426,6.356613737,14.67906095,0,1,1
C1QB,C1QB,12260,-,complement component 1_ q subcomponent_ beta polypeptide,3.258349544,3.37518817,3.877776523,4.25091486,3.371776426,5.897182119,16.05775097,0,1,1
C1RA,C1RA,50909,AI132558|C1r|mC1rA,complement component 1_ r subcomponent A,6.923930505,6.730030887,6.825309103,5.143999656,5.50927995,5.482144619,68.71004486,-4.930737338,2.46E-05,0.002825951
C1S,C1S,50908,AA959438|AI255193|AI327365|C1s|C1sa|C1s1,complement component 1_ s subcomponent 1,6.295186312,6.166601548,6.877776523,5.028522439,5.371776426,5.482144619,58.49878049,-5.266786541,0.000200068,0.003455671
C2,C2,12263,-,complement component 2 (within H-2S),6.493125689,6.224212271,6.640277209,3.443559938,4.371776426,5.482144619,43.48711286,-6.245922575,0.001006346,0.005260443
C3,C3,12266,AI255234|ASP|HSE-MSF|Plp,complement component 3,3.529651566,2.996676546,3.392349695,2.443559938,3.634810832,4.897182119,11.17630802,0,1,1
C3AR1,C3AR1,12267,AZ3B|C3AR|HNFAG09,complement component 3a receptor 1,3.444762668,3.897140873,3.529853219,5.613484939,5.907829326,5.897182119,26.26449956,0,1,1
C4A,C4A,625018,Slp|SlpA,complement component 4A (Rodgers blood group),2.923930505,2.996676546,3.529853219,4.028522439,3.857203253,4.897182119,13.04623257,0,1,1
C6,C6,12274,AW111623,complement component 6,2.923930505,3.259710952,4.392349695,5.028522439,4.50927995,6.219110214,20.94911354,0,1,1
C7,C7,109828,A530026G17|Gm1238,complement component 7,1.859800167,0.674748452,2.877776523,3.028522439,3.049848331,5.219110214,6.892214909,0,1,1
C8A,C8A,230558,-,complement component 8_ alpha polypeptide,3.892221645,3.259710952,4.157884442,3.765488033,3.857203253,4.482144619,14.9538199,0,1,1
C8B,C8B,110382,4930439B20Rik|AI595927,complement component 8_ beta polypeptide,3.792685971,3.613347907,4.318349114,4.443559938,3.634810832,4.482144619,16.53536588,0,1,1
C9,C9,12279,-,complement component 9,3.155256051,3.337713464,2.655384101,4.765488033,4.219773332,4.897182119,14.30518434,0,1,1
CCL11,CCL11,20292,Scya11|eotaxin,chemokine (C-C motif) ligand 11,2.400368549,2.674748452,2.655384101,1.443559938,3.634810832,3.897182119,6.889228032,0,1,1
CCL17,CCL17,20295,Abcd-2|Scya17|Scya17l|Tarc,chemokine (C-C motif) ligand 17,4.667155089,4.947766946,4.593983557,6.028522439,6.831208045,6.597621837,48.87561617,0,1,1
CCL19,CCL19,24047,CKb11|ELC|MIP3B|Scya19|exodus-3,chemokine (C-C motif) ligand 19,1.400368549,1.259710952,2.655384101,3.443559938,2.634810832,2.897182119,5.21199638,0,1,1
CCL2,CCL2,20296,AI323594|HC11|JE|MCAF|MCP-1|MCP1|SMC-CF|Scya2|Sigje,chemokine (C-C motif) ligand 2,13.6271194,13.60147684,12.91119952,11.85718787,11.82956769,11.83676133,6253.950603,-1.603361362,0.000761072,0.004376163
CCL20,CCL20,20297,CKb4|LARC|MIP-3A|MIP-3[a]|MIP3A|ST38|Scya20|exodus-1,chemokine (C-C motif) ligand 20,6.744664456,6.37518817,5.903311615,6.350450534,5.371776426,5.704537041,67.41454744,-2.119999776,0.036539535,0.060029236
CCL21A,CCL21A,18829,6CKBAC2|6Ckine|ALP|AW987545|CKb9|SCYA21a|SLC|Scya21|Scya21b|Tca4|plt,chemokine (C-C motif) ligand 21A (serine),3.859800167,3.972429,4.392349695,4.25091486,4.219773332,4.482144619,18.33127564,0,1,1
CCL22,CCL22,20299,ABCD-1|DCBCK|MDC|Scya22,chemokine (C-C motif) ligand 22,3.9549574,4.393566699,4.825309103,4.902991557,4.049848331,5.897182119,25.46850789,0,1,1
CCL24,CCL24,56221,CKb-6|MPIF-2|Scya24,chemokine (C-C motif) ligand 24,3.648296062,3.644374803,3.655384101,4.028522439,4.049848331,3.897182119,14.12913568,0,1,1
CCL3,CCL3,20302,AI323804|G0S19-1|LD78alpha|MIP-1alpha|MIP1-(a)|MIP1-alpha|Mip1a|Scya3,chemokine (C-C motif) ligand 3,2.307259144,2.733642141,3.877776523,3.443559938,4.50927995,5.482144619,13.22880084,0,1,1
CCL4,CCL4,20303,AT744.1|Act-2|MIP-1B|Mip1b|Scya4,chemokine (C-C motif) ligand 4,3.307259144,3.613347907,3.877776523,4.25091486,4.049848331,4.482144619,15.24448207,0,1,1
CCL5,CCL5,20304,MuRantes|RANTES|SISd|Scya5|TCP228,chemokine (C-C motif) ligand 5,12.24556454,12.30144615,11.86402491,11.30464684,11.19450657,10.97933116,3209.76812,-1.029048892,0.000655151,0.004247448
CCL7,CCL7,20306,MCP-3|Scya7|fic|marc|mcp3,chemokine (C-C motif) ligand 7,8.826633303,8.901963256,8.194542912,6.487954057,6.634810832,6.804072714,199.696169,-4.70836121,0.011357195,0.026950878
CCL8,CCL8,20307,1810063B20Rik|AB023418|HC14|MCP-2|Mcp2|Scya8,chemokine (C-C motif) ligand 8,4.590193107,4.259710952,5.11481572,5.028522439,5.137311172,5.704537041,31.3961352,0,1,1
CCR1,CCR1,12768,Cmkbr1|Mip-1a-R,chemokine (C-C motif) receptor 1,3.648296062,3.516050706,2.877776523,3.443559938,2.634810832,2.897182119,8.998051951,0,1,1
CCR2,CCR2,12772,Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r,chemokine (C-C motif) receptor 2,2.722296643,2.897140873,3.070421601,2.443559938,3.371776426,3.897182119,8.38065459,0,1,1
CCR3,CCR3,12771,CC-CKR3|CKR3|Cmkbr1l2|Cmkbr3,chemokine (C-C motif) receptor 3,2.859800167,3.089785951,3.070421601,4.028522439,3.371776426,2.897182119,9.315165816,0,1,1
CCR4,CCR4,12773,C-C CKR-4|CHEMR1|Cmkbr4|LESTR|Sdf1r,chemokine (C-C motif) receptor 4,1.57029355,0.897140873,2.655384101,3.443559938,3.049848331,5.897182119,7.562700496,0,1,1
CCR7,CCR7,12775,CC-CKR-7|CCR-7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h,chemokine (C-C motif) receptor 7,1.985331049,1.089785951,2.877776523,3.765488033,3.049848331,4.482144619,7.336349743,0,1,1
CD163,CD163,93671,CD163v2|CD163v3,CD163 antigen,4.609821914,4.37518817,4.877776523,5.143999656,4.219773332,6.356613737,30.4955935,0,1,1
CD4,CD4,12504,L3T4|Ly-4,CD4 antigen,1.400368549,1.790225669,2.655384101,3.443559938,3.857203253,5.482144619,8.602848043,0,1,1
CD40,CD40,21939,AI326936|Bp50|GP39|HIGM1|IGM|IMD3|T-BAM|TRAP|Tnfrsf5|p50,CD40 antigen,3.57029355,2.947766946,2.877776523,4.028522439,3.049848331,4.482144619,11.25680421,0,1,1
CD40LG,CD40LG,21947,CD154|CD40-L|Cd40l|HIGM1|IGM|IMD3|Ly-62|Ly62|T-BAM|TRAP|Tnfsf5|gp39,CD40 ligand,3.044224738,3.447337956,3.392349695,1.443559938,3.857203253,2.897182119,8.076011415,0,1,1
CD55,CD55,13136,Daf|Daf-GPI|Daf1|GPI-DAF,CD55 molecule_ decay accelerating factor for complement,3.923930505,3.613347907,3.655384101,4.613484939,4.371776426,4.897182119,18.11589695,0,1,1
CD86,CD86,12524,B7|B7-2|B7.2|B70|CLS1|Cd28l2|ETC-1|Ly-58|Ly58|MB7|MB7-2|TS/A-2,CD86 antigen,3.155256051,3.219068968,3.392349695,4.765488033,3.049848331,5.219110214,13.93061342,0,1,1
CDC42,CDC42,12540,AI747189|AU018915,cell division cycle 42,14.94693147,14.98746599,14.85837516,15.25262463,15.16976212,15.19524469,34359.00591,0.272589844,0.026153479,0.045570455
CEBPB,CEBPB,12608,C/EBPbeta|CRP2|IL-6DBP|LAP|LIP|NF-IL6|NF-M|Nfil6,CCAAT/enhancer binding protein (C/EBP)_ beta,10.83343231,10.65035762,10.56527719,10.2379758,10.11054426,10.30657305,1399.497674,-0.551425136,0.015443834,0.030621396
CFB,CFB,14962,AI195813|AI255840|B|Bf|C2|Fb|H2-Bf,complement factor B,3.444762668,3.259710952,3.977312196,4.765488033,5.049848331,6.597621837,22.87644024,0,1,1
CFD,CFD,11537,Adn|DF,complement factor D (adipsin),1.57029355,1.54921757,2.392349695,3.028522439,2.049848331,4.897182119,5.98452033,0,1,1
CFL1,CFL1,12631,AA959946|Cof|n-cofilin,cofilin 1_ non-muscle,14.94911521,14.95115158,14.88320057,15.15984354,15.17598813,15.16103814,33846.58979,0.235357573,0.032995652,0.054992754
CHI3L3,CHI3L3,12655,AI505981|Chi3l3|ECF-L|Ym1|Chil3,chitinase-like 3,0.985331049,1.259710952,2.877776523,3.443559938,3.371776426,4.482144619,6.665516097,0,1,1
CREB1,CREB1,12912,2310001E10Rik|3526402H21Rik|AV083133|Creb|Creb-1,cAMP responsive element binding protein 1,5.508893005,5.704495795,5.392349695,5.613484939,5.219773332,5.897182119,47.04696702,0,1,1
CRP,CRP,12945,CRP|CRP-[a]|CRP-[b]|Crpd|DBMT1|gp300|p80|Dmbt1,deleted in malignant brain tumors 1,3.155256051,2.947766946,3.977312196,3.765488033,4.634810832,4.482144619,14.19321759,0,1,1
CSF1,CSF1,12977,C87615|Csfm|MCSF|op,colony stimulating factor 1 (macrophage),13.55257415,13.81139251,13.17861932,13.31122479,13.27896755,13.21346365,10742.4864,-0.278480383,0.159114256,0.201078456
CSF2,CSF2,12981,Csfgm|GMCSF|Gm-CSf|MGI-IGM,colony stimulating factor 2 (granulocyte-macrophage),1.722296643,2.613347907,3.070421601,3.028522439,3.857203253,4.482144619,8.748219446,0,1,1
CSF3,CSF3,12985,Csfg|G-CSF|MGI-IG,colony stimulating factor 3 (granulocyte),1.985331049,1.996676546,2.392349695,4.25091486,3.857203253,5.219110214,9.737811697,0,1,1
CXCL1,CXCL1,14825,Fsp|Gro1|KC|Mgsa|N51|Scyb1|gro,chemokine (C-X-C motif) ligand 1,5.194784415,4.96015067,4.928402596,7.224919651,7.353629079,7.597621837,74.0238384,2.164744762,0.089033837,0.121891563
CXCL10,CXCL10,15945,C7|CRG-2|INP10|IP-10|IP10|Ifi10|Scyb10|gIP-10|mob-1,chemokine (C-X-C motif) ligand 10,11.83016756,12.07010407,11.25095241,11.01151601,11.07913556,10.93610111,2633.92056,-0.795615181,0.011717773,0.026950878
CXCL2,CXCL2,20310,CINC-2a|GROb|Gro2|MIP-2|MIP-2a|Mgsa-b|Mip2|Scyb|Scyb2,chemokine (C-X-C motif) ligand 2,4.826633303,4.516050706,4.770861319,4.443559938,5.219773332,5.482144619,29.37473374,0,1,1
CXCL3,CXCL3,330122,Dcip1|Gm1960,chemokine (C-X-C motif) ligand 3,4.77540798,4.733642141,5.11481572,5.613484939,4.219773332,5.704537041,32.60324201,0,1,1
CXCL5,CXCL5,20311,AMCF-II|ENA-78|GCP-2|LIX|Scyb5|Scyb6,chemokine (C-X-C motif) ligand 5,8.9549574,8.777161634,8.550201865,8.498842373,8.50927995,8.851378429,413.0875039,-0.408629699,0.445298353,0.507022877
CXCL9,CXCL9,17329,BB139920|CMK|Mig|MuMIG|Scyb9|crg-10,chemokine (C-X-C motif) ligand 9,4.258349544,4.299239317,3.977312196,4.443559938,3.049848331,5.897182119,19.98596379,0,1,1
CXCR1,CXCR1,227288,Il8ra,chemokine (C-X-C motif) receptor 1,2.648296062,1.897140873,3.070421601,1.443559938,4.049848331,5.219110214,8.309314732,0,1,1
CXCR2,CXCR2,12765,CD128|CDw128|Cmkar2|Gpcr16|IL-8Rh|IL-8rb|IL8RA|Il8rb|mIL-8RH,chemokine (C-X-C motif) receptor 2,3.444762668,3.447337956,3.529853219,3.443559938,3.634810832,4.897182119,13.2959761,0,1,1
CXCR4,CXCR4,12767,CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo,chemokine (C-X-C motif) receptor 4,3.9549574,3.089785951,4.877776523,5.25091486,4.634810832,7.541038308,29.68263599,0,1,1
CYSLTR1,CYSLTR1,58861,BB147369|CysLT1R|Cyslt1,cysteinyl leukotriene receptor 1,2.100808267,2.411714046,3.070421601,3.765488033,3.634810832,5.219110214,10.31776675,0,1,1
CYSLTR2,CYSLTR2,70086,2300001H05Rik|CYSLT2R|Cltr2|Cyslt2,cysteinyl leukotriene receptor 2,4.740218551,4.96015067,5.11481572,5.028522439,5.137311172,5.482144619,33.75885018,0,1,1
DAXX,DAXX,13163,-,Fas death domain-associated protein,8.534794869,8.664379478,8.48404953,8.603431275,8.424887762,8.482144619,370.2308374,-0.352106244,0.04476346,0.072504196
DDIT3,DDIT3,13198,CHOP-10|CHOP10|chop|gadd153,DNA-damage inducible transcript 3,10.22771125,10.05340457,10.96372313,9.700947781,9.729328431,9.885866805,1092.560151,-0.817038338,0.000650728,0.004247448
DEFA-RS1,DEFA-RS1,13218,2010300L12Rik|2010319H24Rik|CRS1C|CRS1C-2|CRS1C-4|CRS1C-5|Defcr-rs1,defensin_ alpha_ related sequence 1,3.207723471,3.447337956,3.655384101,4.028522439,4.371776426,5.897182119,17.16408547,0,1,1
ELK1,ELK1,211468,C130090D05Rik|ELK|ELK1|ELK3|Kv12.1|Kcnh8,potassium voltage-gated channel_ subfamily H (eag-related)_ member 8,6.383362123,6.393566699,6.462739023,6.19844744,6.004044641,6.704537041,82.0131206,-1.797507136,0.000167901,0.003455671
FASL,FASL,14103,APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld,Fas ligand (TNF superfamily_ member 6),2.859800167,2.482103374,3.877776523,4.443559938,3.634810832,6.219110214,15.13195872,0,1,1
FLT1,FLT1,14254,AI323757|Flt-1|VEGFR-1|VEGFR1|sFlt1,FMS-like tyrosine kinase 1,6.301235357,6.585640978,6.318349114,5.613484939,5.371776426,6.219110214,67.10117718,-3.768184325,0.000188642,0.003455671
FOS,FOS,14281,D12Rfj1|c-fos|cFos,FBJ osteosarcoma oncogene,8.168552873,7.86127542,7.670334443,6.967121894,6.777768786,6.06710712,152.4325037,-2.102238194,0.003121595,0.011078378
FXYD2,FXYD2,11936,Atp1g1,FXYD domain-containing ion transport regulator 2,3.354564859,3.54921757,3.977312196,2.443559938,3.857203253,5.219110214,13.30129375,0,1,1
GNAQ,GNAQ,14682,1110005L02Rik|6230401I02Rik|AA408290|AW060788|Dsk1|Dsk10|Galphaq|Gq|GqI,guanine nucleotide binding protein_ alpha q polypeptide,10.17020639,10.28300327,9.992262538,10.46036823,10.38747023,10.54103831,1265.704431,0.251500042,0.052264095,0.081221228
GNAS,GNAS,14683,5530400H20Rik|A930027G11Rik|C130027O20Rik|GPSA|GSP|Galphas|Gnas1|Gnasxl|Gs-alpha|Gsa|Nesp|Nesp55|Nespl|Oed-Sml|Oedsml|P1|P2|P3|PHP1A|PHP1B|POH|SCG6,GNAS (guanine nucleotide binding protein_ alpha stimulating) complex locus,13.37464869,13.40149879,13.30104253,13.05780967,13.10682467,13.1848945,9659.859392,-0.253070221,0.001601283,0.008006414
GNB1,GNB1,14688,AA409223|C77571|Gnb-1,guanine nucleotide binding protein (G protein)_ beta 1,14.06941968,14.17376382,13.97091109,14.40211265,14.37599689,14.38351437,19206.22572,0.31172083,0.014262835,0.030570336
GNGT1,GNGT1,14699,G(y)1|Gng1,guanine nucleotide binding protein (G protein)_ gamma transducing activity polypeptide 1,3.757920553,3.581639047,4.655384101,5.028522439,5.137311172,6.704537041,28.06861018,0,1,1
GPR44,GPR44,14764,Crth2|Gpr44|Grp45|Ptgdr2,prostaglandin D2 receptor 2,2.648296062,1.897140873,4.240346602,4.613484939,4.219773332,5.482144619,14.42198397,0,1,1
GRB2,GRB2,14784,AA408164|Ash,growth factor receptor bound protein 2,10.33958043,10.36736395,10.20227856,10.15780546,10.15575684,10.19180287,1205.791446,-0.220448319,0.012249742,0.027090776
H2-EA-PS,H2-EA-PS,100504404,AI323765|E-alpha-f|H-2Ea|H2-Ea|I-Ealpha|Ia-3|Ia3|MHC-H2-Ea,histocompatibility 2_ class II antigen E alpha_ pseudogene,1.985331049,0.674748452,3.655384101,4.028522439,3.049848331,5.219110214,8.58701928,0,1,1
H2-EB1,H2-EB1,14969,Eb|H-2Eb|H2Eb|Ia-4|Ia4,histocompatibility 2_ class II antigen E beta,2.207723471,2.54921757,3.070421601,3.443559938,3.371776426,4.897182119,9.557589824,0,1,1
HC,HC,15139,C5|C5a|He,hemolytic complement,3.792685971,3.674748452,4.318349114,4.613484939,3.371776426,3.897182119,15.39835684,0,1,1
HDAC4,HDAC4,208727,4932408F19Rik|HD4,histone deacetylase 4,8.556451625,8.579633911,8.401338479,7.902991557,7.944666094,8.182584338,306.8261568,-0.955811918,0.000360592,0.003455671
HIF1A,HIF1A,15251,AA959795|HIF-1-alpha|HIF1-alpha|HIF1alpha|MOP1|bHLHe78,hypoxia inducible factor 1_ alpha subunit,12.99719889,12.94791269,12.77194467,12.25413157,12.2593017,12.24147803,6117.223436,-0.677721232,0.000979526,0.005260443
HMGB1,HMGB1,15289,HMG-1|Hmg1|SBP-1|p30,high mobility group box 1,12.40467681,12.42991422,12.24316162,12.49680706,12.4984809,12.44021394,5475.882441,0.102892747,0.391835187,0.450610465
HMGB2,HMGB2,97165,C80539|HMG-2|Hmg2,high mobility group box 2,7.71098133,7.607455339,7.971288409,7.593307057,6.857203253,7.289499541,181.6422272,-1.39115255,0.014480621,0.030570336
HMGN1,HMGN1,15312,HMG-14|Hmg14,high mobility group nucleosomal binding domain 1,14.71248927,14.74838796,14.61248614,14.5902877,14.57451247,14.63358405,25625.47746,-0.095384867,0.112568133,0.150527154
HRAS1,HRAS1,15461,H-ras|Ha-ras|Harvey-ras|Hras-1|Hras1|Kras2|c-H-ras|c-Ha-ras|c-rasHa|ras|Hras,Harvey rat sarcoma virus oncogene,5.181728262,4.857970276,5.427973605,5.350450534,4.857203253,6.804072714,42.61333643,0,1,1
HSH2D,HSH2D,209488,ALX|Hsh2,hematopoietic SH2 domain containing,3.985331049,4.067065874,4.825309103,3.028522439,3.857203253,5.219110214,17.92320814,0,1,1
HSPB1,HSPB1,15507,27kDa|Hsp25,heat shock protein 1,10.07146727,10.11734643,10.28109294,10.48247893,10.49899698,10.56960746,1293.291409,0.296289798,0.161780194,0.202225242
HSPB2,HSPB2,69253,27kDa|2810021G24Rik|HSP27|MKBP,heat shock protein 2,5.168552873,4.947766946,5.11481572,5.028522439,3.634810832,2.897182119,22.08929018,0,1,1
IFI27L2A,IFI27L2A,76933,2310061N23Rik|Ifi27|Isg12|Isg12(b1),interferon_ alpha-inducible protein 27 like 2A,8.483847876,7.933707002,8.688807103,6.487954057,6.137311172,6.704537041,169.6041164,-3.508900295,0.003269866,0.011078378
IFI44,IFI44,99899,A430056A10Rik|AW261460|MTAP44|p44,interferon-induced protein 44,10.60738287,10.68317707,10.53190105,9.11598528,9.219773332,8.389035215,865.7914858,-1.885788504,0.002762771,0.010248989
IFIT1,IFIT1,15957,ISG56|Ifi56|P56,interferon-induced protein with tetratricopeptide repeats 1,10.56244512,10.73544438,10.32308703,9.487954057,9.46347626,9.420744075,1023.190095,-1.246957852,0.006129748,0.016783834
IFIT2,IFIT2,15958,AV302338|Ifi54|P54,interferon-induced protein with tetratricopeptide repeats 2,9.428274545,9.450633035,9.341884628,8.562501011,8.619703939,9.026465136,538.0427698,-0.911943823,0.000531455,0.004074489
IFIT3,IFIT3,15959,Ifi49|P49,interferon-induced protein with tetratricopeptide repeats 3,10.40704526,10.4351912,10.31597431,9.552084395,9.600595116,9.497094961,1001.535289,-0.97806155,0.073537273,0.105358482
IFNA1,IFNA1,15962,Ifa1,interferon alpha 1,3.826633303,3.996676546,4.529853219,5.028522439,4.219773332,5.704537041,23.44160284,0,1,1
IFNB1,IFNB1,15977,IFN-beta|IFNB|Ifb,interferon beta 1_ fibroblast,3.307259144,3.613347907,3.240346602,1.443559938,3.371776426,5.219110214,10.30948269,0,1,1
IFNG,IFNG,15978,IFN-g|Ifg,interferon gamma,-0.014668951,1.897140873,3.392349695,2.443559938,3.634810832,5.482144619,6.992893343,0,1,1
IIGP1,IIGP1,60440,2900074L10Rik|AI046432|AW111922|Ifgga1|Iigp|Irga6,interferon inducible GTPase 1,8.555186658,8.540997063,8.538027151,6.301540933,6.882738345,7.06710712,200.519613,-3.151411704,0.001770332,0.008242568
IL10,IL10,16153,CSIF|Il-10,interleukin 10,3.207723471,3.411714046,2.070421601,3.765488033,3.634810832,3.897182119,10.06463781,0,1,1
IL10RB,IL10RB,16155,6620401D04Rik|AI528744|CRF2-4|Crfb4|D16H21S58|D21S58h|IL-10R2|Il10r2,interleukin 10 receptor_ beta,10.12658671,10.06563392,10.05198888,9.724330708,9.573410287,9.555393601,922.5973581,-0.593288144,0.000260837,0.003455671
IL11,IL11,16156,IL-11,interleukin 11,3.985331049,3.922675965,4.318349114,5.613484939,5.371776426,4.482144619,24.51558051,0,1,1
IL12A,IL12A,16159,IL-12p35|Il-12a|Ll12a|p35,interleukin 12a,3.859800167,3.447337956,3.655384101,3.443559938,2.634810832,5.704537041,13.84127564,0,1,1
IL12B,IL12B,16160,Il-12b|Il-12p40|Il12p40|p40,interleukin 12b,3.985331049,4.043982261,3.770861319,4.765488033,4.219773332,5.482144619,20.79161763,0,1,1
IL13,IL13,16163,Il-13,interleukin 13,2.792685971,2.996676546,3.070421601,3.028522439,3.857203253,3.897182119,9.671783751,0,1,1
IL15,IL15,16168,AI503618|IL-15,interleukin 15,3.444762668,3.299239317,4.070421601,4.443559938,3.857203253,5.704537041,17.5892326,0,1,1
IL17A,IL17A,16171,Ctla-8|Ctla8|IL-17|IL-17A|Il17,interleukin 17A,3.044224738,2.259710952,4.070421601,4.613484939,4.219773332,5.704537041,15.83844469,0,1,1
IL18,IL18,16173,Igif|Il-18,interleukin 18,4.550115668,4.198310408,4.593983557,5.350450534,5.297775844,6.219110214,32.78485716,0,1,1
IL18RAP,IL18RAP,16174,AcPL|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1RAcPL,interleukin 18 receptor accessory protein,7.383362123,7.382107584,6.965239364,6.487954057,6.573410287,6.482144619,117.7053707,-3.262111223,0.051424365,0.081010987
IL1A,IL1A,16175,Il-1a,interleukin 1 alpha,2.792685971,2.947766946,3.655384101,3.443559938,4.049848331,4.897182119,12.38971618,0,1,1
IL1B,IL1B,16176,IL-1beta|Il-1b,interleukin 1 beta,4.233258563,3.581639047,4.318349114,3.765488033,3.857203253,5.704537041,18.94063125,0,1,1
IL1R1,IL1R1,16177,CD121a|CD121b|IL-1R1|IL-iR|Il1r-1,interleukin 1 receptor_ type I,10.38193583,10.25783122,10.22143814,9.108895855,9.234723674,9.200962867,851.7569068,-1.295385296,0.000429999,0.003803835
IL1RAP,IL1RAP,16180,6430709H04Rik|AI255955|AV239853|IL-1RAcP,interleukin 1 receptor accessory protein,9.300480612,9.376921137,9.184163767,9.211744263,9.09969688,9.340125615,609.7984665,-0.238159737,0.096057704,0.129960423
IL1RN,IL1RN,16181,F630041P17Rik|IL-1ra,interleukin 1 receptor antagonist,3.609821914,3.299239317,4.318349114,3.443559938,4.219773332,6.482144619,18.74994821,0,1,1
IL2,IL2,16183,Il-2,interleukin 2,3.258349544,2.482103374,3.877776523,2.443559938,4.371776426,5.482144619,12.57614981,0,1,1
IL21,IL21,60505,IL-21,interleukin 21,3.155256051,3.13418007,3.877776523,4.25091486,3.371776426,2.897182119,10.91203048,0,1,1
IL22,IL22,50929,IL-22|IL-22a|ILTIFa|Iltif,interleukin 22,0.722296643,1.259710952,1.655384101,2.443559938,3.049848331,3.897182119,4.504385638,0,1,1
IL22RA2,IL22RA2,237310,CRF2-10|CRF2-s1|CRF2X|Il-22bp,interleukin 22 receptor_ alpha 2,2.207723471,2.411714046,2.655384101,4.25091486,2.634810832,4.897182119,9.039783607,0,1,1
IL23A,IL23A,83430,IL-23|p19,interleukin 23_ alpha subunit p19,3.609821914,3.817706405,3.770861319,3.765488033,3.049848331,2.897182119,11.19786163,0,1,1
IL23R,IL23R,209590,IL-23R,interleukin 23 receptor,4.307259144,4.043982261,4.71427779,4.902991557,4.219773332,5.482144619,24.44958576,0,1,1
IL3,IL3,16187,BPA|Csfmu|HCGF|Il-3|MCGF|PSF,interleukin 3,3.923930505,3.482103374,4.157884442,4.443559938,4.219773332,5.482144619,19.49320447,0,1,1
IL4,IL4,16189,BSF-1|Il-4,interleukin 4,1.400368549,1.089785951,3.070421601,3.443559938,2.634810832,5.482144619,7.227592903,0,1,1
IL5,IL5,16191,Il-5,interleukin 5,3.529651566,3.482103374,3.070421601,1.443559938,3.857203253,4.897182119,10.41088139,0,1,1
IL6,IL6,16193,Il-6,interleukin 6,5.044224738,4.857970276,4.655384101,4.25091486,4.956738927,5.897182119,30.77604282,0,1,1
